Feature,Coefficient,Absolute_Coefficient,Direction
cat__cp_asymptomatic,0.9671481187868607,0.9671481187868607,Positive
bool__exang,0.9394658251188894,0.9394658251188894,Positive
cat__cp_typical angina,-0.7248263082550299,0.7248263082550299,Negative
cat__sex_Female,-0.6531512423105824,0.6531512423105824,Negative
cat__sex_Male,0.6441420814640619,0.6441420814640619,Positive
num__missingindicator_chol,0.5564545449081876,0.5564545449081876,Positive
num__oldpeak,0.5282538581509071,0.5282538581509071,Positive
bool__fbs,0.4070672647769206,0.4070672647769206,Positive
num__thalch,-0.3383827444609068,0.3383827444609068,Negative
num__age,0.2802650438760502,0.2802650438760502,Positive
cat__cp_non-anginal,-0.25133097137835125,0.25133097137835125,Negative
num__chol,0.22635012852760983,0.22635012852760983,Positive
cat__restecg_normal,-0.13845058042068314,0.13845058042068314,Negative
cat__restecg_lv hypertrophy,0.12959461361654184,0.12959461361654184,Positive
num__trestbps,0.046361401311759726,0.046361401311759726,Positive
cat__restecg_st-t abnormality,-0.0001531940423786146,0.0001531940423786146,Negative
