Feature,Importance
num__thalch,0.13711494654950038
num__age,0.128824278450305
cat__cp_asymptomatic,0.12195599534882277
num__oldpeak,0.11541310933890957
num__chol,0.11209127295731028
num__trestbps,0.08847915289957033
bool__exang,0.06881620738926891
cat__cp_typical angina,0.045071653408755324
num__missingindicator_chol,0.04455354759517609
cat__sex_Female,0.02908585019400405
cat__sex_Male,0.02443270177697568
cat__cp_non-anginal,0.019569165000546545
cat__restecg_st-t abnormality,0.017927814039554818
cat__restecg_normal,0.01737339500989116
bool__fbs,0.01624463668710183
cat__restecg_lv hypertrophy,0.013046273354307246
