Model,Threshold,TN,FP,FN,TP,Accuracy,Precision,Recall,Sensitivity,Specificity,False_Positive_Rate,False_Negative_Rate,F1
Tuned Logistic Regression,0.1,47,281,3,403,0.6130790190735694,0.5891812865497076,0.9926108374384236,0.9926108374384236,0.14329268292682926,0.8567073170731707,0.007389162561576354,0.7394495412844037
Tuned Logistic Regression,0.2,134,194,10,396,0.7220708446866485,0.6711864406779661,0.9753694581280788,0.9753694581280788,0.40853658536585363,0.5914634146341463,0.024630541871921183,0.7951807228915663
Tuned Logistic Regression,0.3,187,141,22,384,0.7779291553133515,0.7314285714285714,0.9458128078817734,0.9458128078817734,0.5701219512195121,0.4298780487804878,0.054187192118226604,0.8249194414607949
Tuned Logistic Regression,0.4,234,94,41,365,0.8160762942779292,0.7952069716775599,0.8990147783251231,0.8990147783251231,0.7134146341463414,0.2865853658536585,0.10098522167487685,0.8439306358381503
Tuned Logistic Regression,0.5,257,71,63,343,0.8174386920980926,0.8285024154589372,0.8448275862068966,0.8448275862068966,0.7835365853658537,0.21646341463414634,0.15517241379310345,0.8365853658536585
Tuned Logistic Regression,0.6,277,51,98,308,0.7970027247956403,0.8579387186629527,0.7586206896551724,0.7586206896551724,0.8445121951219512,0.15548780487804878,0.2413793103448276,0.8052287581699347
Tuned Logistic Regression,0.7,293,35,136,270,0.7670299727520435,0.8852459016393442,0.6650246305418719,0.6650246305418719,0.8932926829268293,0.10670731707317073,0.33497536945812806,0.759493670886076
Tuned Logistic Regression,0.8,303,25,188,218,0.7098092643051771,0.897119341563786,0.5369458128078818,0.5369458128078818,0.9237804878048781,0.07621951219512195,0.4630541871921182,0.6718027734976888
Tuned Logistic Regression,0.9,316,12,294,112,0.5831062670299727,0.9032258064516129,0.27586206896551724,0.27586206896551724,0.9634146341463414,0.036585365853658534,0.7241379310344828,0.4226415094339623
Tuned Support Vector Machine,0.1,57,271,4,402,0.6253405994550408,0.5973254086181278,0.9901477832512315,0.9901477832512315,0.17378048780487804,0.8262195121951219,0.009852216748768473,0.7451343836886005
Tuned Support Vector Machine,0.2,144,184,13,393,0.7316076294277929,0.6811091854419411,0.9679802955665024,0.9679802955665024,0.43902439024390244,0.5609756097560976,0.03201970443349754,0.7995930824008138
Tuned Support Vector Machine,0.3,199,129,28,378,0.7861035422343324,0.7455621301775148,0.9310344827586207,0.9310344827586207,0.6067073170731707,0.3932926829268293,0.06896551724137931,0.828039430449069
Tuned Support Vector Machine,0.4,237,91,46,360,0.8133514986376021,0.7982261640798226,0.8866995073891626,0.8866995073891626,0.7225609756097561,0.2774390243902439,0.11330049261083744,0.8401400233372228
Tuned Support Vector Machine,0.5,252,76,69,337,0.8024523160762943,0.8159806295399515,0.8300492610837439,0.8300492610837439,0.7682926829268293,0.23170731707317074,0.16995073891625614,0.8229548229548229
Tuned Support Vector Machine,0.6,271,57,93,313,0.7956403269754768,0.845945945945946,0.770935960591133,0.770935960591133,0.8262195121951219,0.17378048780487804,0.229064039408867,0.8067010309278351
Tuned Support Vector Machine,0.7,292,36,129,277,0.7752043596730245,0.8849840255591054,0.6822660098522167,0.6822660098522167,0.8902439024390244,0.10975609756097561,0.31773399014778325,0.7705146036161336
Tuned Support Vector Machine,0.8,302,26,180,226,0.7193460490463215,0.8968253968253969,0.5566502463054187,0.5566502463054187,0.9207317073170732,0.07926829268292683,0.4433497536945813,0.6869300911854104
Tuned Support Vector Machine,0.9,317,11,280,126,0.603542234332425,0.9197080291970803,0.3103448275862069,0.3103448275862069,0.9664634146341463,0.03353658536585366,0.6896551724137931,0.46408839779005523
